/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10408/: vold = 88.60472450178828, vnew = 113.04283524166608, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10409/: vold = 146.52068398216971, vnew = 88.25699915800698, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1041/: vold = 146.16383479393144, vnew = 79.97407008605036, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10410/: vold = 249.47656820447202, vnew = 97.62754360245707, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10411/: vold = 57.142696322649144, vnew = 109.94032770318809, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10412/: vold = 106.58963668533804, vnew = 40.938495593508534, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10413/: vold = 192.69368128314835, vnew = 77.81374073601819, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10414/: vold = 62.61484771179691, vnew = 144.0707660537153, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10415/: vold = 77.89575449130267, vnew = 166.47840171665092, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10416/: vold = 92.47892190182225, vnew = 141.7022751919577, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10417/: vold = 43.27032306088828, vnew = 136.53985179754204, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10418/: vold = 205.58380099450346, vnew = 64.56862844200062, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10419/: vold = 60.18539199190124, vnew = 120.17164232784953, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1042/: vold = 95.40434944754847, vnew = 189.95120355314452, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10420/: vold = 48.49218276245224, vnew = 150.07478553403334, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10421/: vold = 73.3069550726812, vnew = 169.08506608516683, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10422/: vold = 74.62990871331654, vnew = 188.96425532806205, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10423/: vold = 67.54336592808208, vnew = 164.35970583816635, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10424/: vold = 36.15301172809922, vnew = 122.87919376444077, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10425/: vold = 33.907636517660144, vnew = 190.32801098924318, difference = 297, maxdiff = 0.00028592348098754883
